iter	Passed	Remaining
143	238	1418
144	239	1410
145	239	1401
146	240	1392
147	240	1384
148	240	1376
149	241	1368
150	241	1359
151	242	1352
152	242	1344
153	243	1336
154	243	1328
155	244	1321
156	244	1313
157	245	1306
158	245	1299
159	246	1292
160	246	1284
161	246	1277
162	247	1270
163	247	1263
164	248	1256
165	248	1250
166	249	1243
167	249	1236
168	250	1230
169	250	1224
170	251	1218
171	251	1212
172	252	1205
173	252	1199
174	253	1193
175	253	1187
176	254	1181
177	254	1175
178	255	1169
179	255	1164
180	256	1158
181	256	1153
182	257	1147
183	257	1142
184	257	1136
185	258	1130
186	258	1125
187	259	1119
188	259	1114
189	260	1109
190	260	1104
191	261	1098
192	261	1093
193	262	1088
194	262	1083
195	262	1078
196	263	1074
197	264	1069
198	264	1064
199	265	1060
200	265	1055
201	265	1050
202	266	1045
203	266	1041
204	267	1036
205	267	1032
206	268	1027
207	268	1022
208	269	1018
209	269	1014
210	270	1010
211	270	1006
212	271	1002
213	271	997
214	272	993
215	272	989
216	273	985
217	273	981
218	274	977
219	274	973
220	275	969
221	275	965
222	276	962
223	276	958
224	277	954
225	277	950
226	278	947
227	278	943
228	279	939
229	279	935
230	279	932
231	280	928
232	280	924
233	281	920
234	281	917
235	282	914
236	282	910
237	283	907
238	283	903
239	284	900
240	284	896
241	285	893
242	285	889
243	286	886
244	286	882
245	286	879
246	287	876
247	287	872
248	288	869
249	288	866
250	289	863
251	289	860
252	290	857
253	290	853
254	291	850
255	291	847
256	292	844
257	292	841
258	292	838
259	293	835
260	293	832
261	294	829
262	294	826
263	295	823
264	295	820
265	296	817
266	296	814
267	297	811
268	297	808
269	298	806
270	298	803
271	299	800
272	299	797
273	299	794
274	300	792
275	301	789
276	301	786
277	301	784
278	302	781
279	302	779
280	303	776
281	303	773
282	304	771
283	304	768
284	305	765
285	305	763
286	306	760
287	306	758
288	307	756
289	307	753
290	308	751
291	308	748
292	309	746
293	309	743
294	310	741
295	310	738
296	311	736
297	311	733
298	312	731
299	312	729
300	312	726
301	313	724
302	313	722
303	314	719
304	314	717
305	315	715
306	315	712
307	316	710
308	316	708
309	317	706
310	317	704
311	318	701
312	318	699
313	319	697
314	319	695
315	320	693
316	320	691
317	321	689
318	321	687
319	322	685
320	323	683
321	323	681
322	324	679
323	324	676
324	324	674
325	325	672
326	326	671
327	326	668
328	327	666
329	327	664
330	327	662
331	328	660
332	328	658
333	329	656
334	329	654
335	330	652
336	330	650
337	331	648
338	331	646
339	332	645
340	332	643
341	333	641
342	333	639
343	334	637
344	334	635
345	335	633
346	335	631
347	335	629
348	336	627
349	336	625
350	337	623
351	337	622
352	338	620
353	338	618
354	339	616
355	340	615
356	340	613
357	341	611
358	341	609
359	342	608
360	342	606
361	343	604
362	343	602
363	344	601
364	344	599
365	345	597
366	345	596
367	346	594
368	346	593
369	347	591
370	347	589
371	348	588
372	348	586
373	349	584
374	349	583
375	350	581
376	350	579
377	351	578
378	351	576
379	352	574
380	352	573
381	353	571
382	353	569
383	354	568
384	354	566
385	355	564
386	355	563
387	356	561
388	356	560
389	357	558
390	357	557
391	358	555
392	358	553
393	359	552
394	359	550
395	360	549
396	360	547
397	361	546
398	361	544
399	362	543
400	362	541
401	362	539
402	363	538
403	363	536
404	364	535
405	364	533
406	365	532
407	365	530
408	366	529
409	366	527
410	367	526
411	367	524
412	368	523
413	368	521
414	368	520
415	369	518
416	369	517
417	370	515
418	370	514
419	371	512
420	371	511
421	372	509
422	372	508
423	373	507
424	373	505
425	374	504
426	374	503
427	375	502
428	376	500
429	376	499
430	377	498
431	377	496
432	378	495
433	379	494
434	379	492
435	380	491
436	380	490
437	381	488
438	381	487
439	382	486
440	382	485
441	383	483
442	383	482
443	384	481
444	384	479
445	385	478
446	385	476
447	385	475
448	386	474
449	386	472
450	387	471
451	387	470
452	388	469
453	388	467
454	389	466
455	389	465
456	390	463
457	390	462
458	391	461
459	391	459
460	392	458
461	392	457
462	393	456
463	393	454
464	394	453
465	394	452
466	395	450
467	395	449
468	396	448
469	396	447
470	396	445
471	397	444
472	397	443
473	398	442
474	398	440
475	399	439
476	399	438
477	400	437
478	400	435
479	401	434
480	401	433
481	402	432
482	402	431
483	403	429
484	403	428
485	404	427
486	404	426
487	405	425
488	405	423
489	406	422
490	406	421
491	407	420
492	407	419
493	408	418
494	408	416
